date,price
1/4/2018,2767.8
1/5/2018,2795.9
1/6/2018,2779.9
1/7/2018,2753.3
1/8/2018,2667.9
1/9/2018,2731.7
1/10/2018,2806.1
1/11/2018,2900.7
1/12/2018,2735.6
1/13/2018,2734.033333
1/14/2018,2732.466667
1/15/2018,2730.9
1/16/2018,2741
1/17/2018,2738.2
1/18/2018,2731.8
1/19/2018,2736
1/20/2018,2736.066667
1/21/2018,2736.133333
1/22/2018,2736.2
1/23/2018,2729.5
1/24/2018,2763.4
1/25/2018,2760.5
1/26/2018,2763
1/27/2018,2757.4
1/28/2018,2751.8
1/29/2018,2746.2
1/30/2018,2753.5
1/31/2018,2745.3
2/1/2018,2672.5
2/2/2018,2740.1
2/3/2018,2769.2
2/4/2018,2767.9
2/5/2018,2797.3
2/6/2018,2781.1
2/7/2018,2738.7
2/8/2018,2661.5
2/9/2018,2733.2
2/10/2018,2832
2/11/2018,2885.8
2/12/2018,2737.6
2/13/2018,2734.5
2/14/2018,2749.3
2/15/2018,2775.7
2/16/2018,2793.2
2/17/2018,2791.1
2/18/2018,2789
2/19/2018,2786.9
2/20/2018,2791.7
2/21/2018,2766.4
2/22/2018,2771
2/23/2018,2765.4
2/24/2018,2768.066667
2/25/2018,2770.733333
2/26/2018,2773.4
2/27/2018,2771.5
2/28/2018,2759.6
3/1/2018,2677.7
3/2/2018,2712.633333
3/3/2018,2747.566667
3/4/2018,2782.5
3/5/2018,2807.2
3/6/2018,2778.4
3/7/2018,2755.9
3/8/2018,2669.2
3/9/2018,2744.9
3/10/2018,2842.1
3/11/2018,2885.7
3/12/2018,2786.3
3/13/2018,2747.6
3/14/2018,2755.3
3/15/2018,2749.5
3/16/2018,2736.3
3/17/2018,2741.333333
3/18/2018,2746.366667
3/19/2018,2751.4
3/20/2018,2747.2
3/21/2018,2765.8
3/22/2018,2778
3/23/2018,2809.3
3/24/2018,2809.1
3/25/2018,2808.9
3/26/2018,2808.7
3/27/2018,2791.8
3/28/2018,2785.9
3/29/2018,2765.6
3/30/2018,2763.5
3/31/2018,2719.3
4/1/2018,2675.1
4/2/2018,2713.566667
4/3/2018,2752.033333
4/4/2018,2790.5
4/5/2018,2818.4
4/6/2018,2781.9
4/7/2018,2783.1
4/8/2018,2668
4/9/2018,2733.9
4/10/2018,2840.3
4/11/2018,2885.7
4/12/2018,2807.7
4/13/2018,2814.6
4/14/2018,2821.433333
4/15/2018,2828.266667
4/16/2018,2835.1
4/17/2018,2829.2
4/18/2018,2851.7
4/19/2018,2864.3
4/20/2018,2841.3
4/21/2018,2837.066667
4/22/2018,2832.833333
4/23/2018,2828.6
4/24/2018,2832.4
4/25/2018,2840.6
4/26/2018,2835.1
4/27/2018,2825.8
4/28/2018,2819.333333
4/29/2018,2812.866667
4/30/2018,2806.4
5/1/2018,2676.1
5/2/2018,2742.7
5/3/2018,2757.7
5/4/2018,2763.2
5/5/2018,2820.6
5/6/2018,2792
5/7/2018,2776.3
5/8/2018,2668
5/9/2018,2746.5
5/10/2018,2863.7
5/11/2018,2878.7
5/12/2018,2804.8
5/13/2018,2849.7
5/14/2018,2854.8
5/15/2018,2828.5
5/16/2018,2804.4
5/17/2018,2810.7
5/18/2018,2819.2
5/19/2018,2819.3
5/20/2018,2819.3
5/21/2018,2821.8
5/22/2018,2823.5
5/23/2018,2836.5
5/24/2018,2859.5
5/25/2018,2826.2
5/26/2018,2829
5/27/2018,2829.1
5/28/2018,2807.8
5/29/2018,2832.3
5/30/2018,2819.3
5/31/2018,2812.8
6/1/2018,2779.65
6/2/2018,2746.5
6/3/2018,2773.9
6/4/2018,2773.5
6/5/2018,2820.6
6/6/2018,2781.6
6/7/2018,2770.7
6/8/2018,2666.4
6/9/2018,2771.3
6/10/2018,2860.4
6/11/2018,2874.5
6/12/2018,2807.7
6/13/2018,2816.9
6/14/2018,2837.6
6/15/2018,2801.7
6/16/2018,2798.8
6/17/2018,2798
6/18/2018,2792.4
6/19/2018,2785.1
6/20/2018,2772.3
6/21/2018,2760.5
6/22/2018,2767.2
6/23/2018,2764.3
6/24/2018,2764.3
6/25/2018,2767.9
6/26/2018,2763.4
6/27/2018,2771
6/28/2018,2758.2
6/29/2018,2751.8
6/30/2018,2753.3
7/1/2018,2742.15
7/2/2018,2731
7/3/2018,2771.9
7/4/2018,2801.95
7/5/2018,2832
7/6/2018,2806.8
7/7/2018,2770.1
7/8/2018,2665.4
7/9/2018,2768.7
7/10/2018,2848
7/11/2018,2851.9
7/12/2018,2863.4
7/13/2018,2729.4
7/14/2018,2728.9
7/15/2018,2728.9
7/16/2018,2728.7
7/17/2018,2694.8
7/18/2018,2698.6
7/19/2018,2705.7
7/20/2018,2716.2
7/21/2018,2717.6
7/22/2018,2717.5
7/23/2018,2710.8
7/24/2018,2707.5
7/25/2018,2712.3
7/26/2018,2698.3
7/27/2018,2696.2
7/28/2018,2694.5
7/29/2018,2694.5
7/30/2018,2692.7
7/31/2018,2692.7
8/1/2018,2690.1
8/2/2018,2722.7
8/3/2018,2762.4
8/4/2018,2798.65
8/5/2018,2834.9
8/6/2018,2815
8/7/2018,2770.1
8/8/2018,2668
8/9/2018,2768.7
8/10/2018,2818.3
8/11/2018,2850
8/12/2018,2859.5
8/13/2018,2683.9
8/14/2018,2681.8
8/15/2018,2651.2
8/16/2018,2637.9
8/17/2018,2651.8
8/18/2018,2653.8
8/19/2018,2653.7
8/20/2018,2665
8/21/2018,2675.8
8/22/2018,2681.9
8/23/2018,2674.6
8/24/2018,2699.7
8/25/2018,2699.6
8/26/2018,2699.6
8/27/2018,2718.3
8/28/2018,2707.4
8/29/2018,2734.6
8/30/2018,2737.6
8/31/2018,2725.6
9/1/2018,2679.6
9/2/2018,2715.1
9/3/2018,2755.4
9/4/2018,2772.1
9/5/2018,2837.2
9/6/2018,2815.3
9/7/2018,2772.9
9/8/2018,2679.6
9/9/2018,2768.7
9/10/2018,2829.8
9/11/2018,2819.9
9/12/2018,2859.5
9/13/2018,2763.1
9/14/2018,2764.2
9/15/2018,2761.5
9/16/2018,2761.5
9/17/2018,2797
9/18/2018,2797.1
9/19/2018,2781.8
9/20/2018,2779.7
9/21/2018,2779.5
9/22/2018,2779.5
9/23/2018,2779.7
9/24/2018,2807.4
9/25/2018,2802.5
9/26/2018,2775.4
9/27/2018,2760.1
9/28/2018,2773.8
9/29/2018,2775.1
9/30/2018,2775.1
10/1/2018,2701.7
10/2/2018,2731.8
10/3/2018,2761.9
10/4/2018,2792
10/5/2018,2844.7
10/6/2018,2815.4
10/7/2018,2767
10/8/2018,2688
10/9/2018,2786.7
10/10/2018,2847.1
10/11/2018,2814
10/12/2018,2894.6
10/13/2018,2879.8
10/14/2018,2879.8
10/15/2018,2903
10/16/2018,2880.9
10/17/2018,2888.6
10/18/2018,2902.5
10/19/2018,2893.4
10/20/2018,2892.7
10/21/2018,2892.7
10/22/2018,2891.3
10/23/2018,2892.7
10/24/2018,2899.5
10/25/2018,2893.7
10/26/2018,2894.9
10/27/2018,2894.7
10/28/2018,2894.5
10/29/2018,2906
10/30/2018,2893.6
10/31/2018,2892.7
11/1/2018,2703.7
11/2/2018,2744.3
11/3/2018,2784.9
11/4/2018,2825.5
11/5/2018,2854.5
11/6/2018,2818.4
11/7/2018,2744.8
11/8/2018,2686.4
11/9/2018,2791
11/10/2018,2898.7
11/11/2018,2820.3
11/12/2018,2884.3
11/13/2018,2786.7
11/14/2018,2806
11/15/2018,2797.3
11/16/2018,2816.5
11/17/2018,2814.7
11/18/2018,2814.7
11/19/2018,2808.3
11/20/2018,2800.2
11/21/2018,2800.3
11/22/2018,2796
11/23/2018,2770.6
11/24/2018,2771
11/25/2018,2772.1
11/26/2018,2774.9
11/27/2018,2759.6
11/28/2018,2760.7
11/29/2018,2740.4
11/30/2018,2736.6
12/1/2018,2709.6
12/2/2018,2729
12/3/2018,2752.1
12/4/2018,2811.3
12/5/2018,2851.1
12/6/2018,2812.9
12/7/2018,2735.1
12/8/2018,2686.4
12/9/2018,2784.9
12/10/2018,2881.5
12/11/2018,2811.3
12/12/2018,2872.5
12/13/2018,2851.6
12/14/2018,2860.3
12/15/2018,2860.4
12/16/2018,2860.4
12/17/2018,2863.9
12/18/2018,2818.2
12/19/2018,2811.9
12/20/2018,2839
12/21/2018,2827.9
12/22/2018,2827.7
12/23/2018,2827.3
12/24/2018,2851.9
12/25/2018,2857.4
12/26/2018,2849
12/27/2018,2871.5
12/28/2018,2869
12/29/2018,2869
12/30/2018,2869
12/31/2018,2859.1
1/1/2019,2865.8
1/2/2019,3024.5
1/3/2019,2948.5
1/4/2019,2858.7
1/5/2019,2853.4
1/6/2019,2915.3
1/7/2019,3061.5
1/8/2019,3208.9
1/9/2019,3507.2
1/10/2019,3378.4
1/11/2019,3424.8
1/12/2019,3372.2
1/13/2019,2909.3
1/14/2019,2933.8
1/15/2019,2946.5
1/16/2019,2947.8
1/17/2019,2944.5
1/18/2019,2931.8
1/19/2019,2930.7
1/20/2019,2930.7
1/21/2019,2925.6
1/22/2019,2939.9
1/23/2019,2932
1/24/2019,2918.2
1/25/2019,2957.6
1/26/2019,2969.1
1/27/2019,2969.1
1/28/2019,2971
1/29/2019,3006.2
1/30/2019,3003
1/31/2019,3008.6
2/1/2019,2879.6
2/2/2019,3023.5
2/3/2019,2947.3
2/4/2019,2857
2/5/2019,2832.8
2/6/2019,2915.4
2/7/2019,3125.8
2/8/2019,3221.5
2/9/2019,3534.2
2/10/2019,3424.3
2/11/2019,3427.2
2/12/2019,3364.8
2/13/2019,2969.4
2/14/2019,2992.9
2/15/2019,3026.9
2/16/2019,3025.7
2/17/2019,3025.5
2/18/2019,3040.6
2/19/2019,3066.7
2/20/2019,3056.6
2/21/2019,3030.9
2/22/2019,3026.6
2/23/2019,3027.7
2/24/2019,3027.7
2/25/2019,3019.4
2/26/2019,3026.4
2/27/2019,3013.7
2/28/2019,2987.4
3/1/2019,2908.7
3/2/2019,3023.3
3/3/2019,2947.3
3/4/2019,2832.7
3/5/2019,2837.9
3/6/2019,2941.2
3/7/2019,3131.7
3/8/2019,3221.5
3/9/2019,3580.1
3/10/2019,3433.4
3/11/2019,3427.2
3/12/2019,3407.3
3/13/2019,2932.2
3/14/2019,2886
3/15/2019,2880.8
3/16/2019,2883
3/17/2019,2883
3/18/2019,2867.3
3/19/2019,2894.3
3/20/2019,2889.8
